"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Offer","Validate clear filter functionality","0","0","1","0","0"
"","Offer","Swoop Offer","1","0","8","0","0"
"","Login","Validate login with banned user","0","0","1","0","0"
"","Login","SauceDemo Login","0","0","8","0","0"
"","Offer","Validate price range filter","1","0","4","0","0"
"","Login","Validate successful login","0","0","1","0","0"
"","Login","Validate login with problematic user","0","0","1","0","0"
"","Login","Validate logout functionality","0","0","1","0","0"
"","Offer","Validate share offer functionality","0","0","1","0","0"
"","Offer","Validate add to favourites functionality","0","0","1","0","0"
"","Offer","Validate no offers sold","0","0","1","0","0"
